Cache Configuration	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.txt	128158187319	52359267051	20119604002	244574909	195899723	432256448	17041	235579	1247532	127913595369	52163131749	19686100022	0.434980001741 %	0.190838302348 %	0.86667488314 %	0.000747694375193 %	1.32968484936e-05 %	0.00204626669601 %
MSizeL1_16384_AssL1_2_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187048	52359266947	20119603932	244574903	575869688	810956017	20244	237889	1290948	127913591901	51783159370	19307356967	0.813110312151 %	0.19083829807 %	1.91342068134 %	0.000772081197763 %	1.57961036016e-05 %	0.00210935543208 %
MSizeL1_16384_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187353	52359267054	20119603991	244574926	441183063	743997936	22283	241404	1297183	127913590144	51917842587	19374308872	0.712608097635 %	0.190838315563 %	1.63520896768 %	0.000777956979863 %	1.73871060915e-05 %	0.00212280762354 %
MSizeL1_32768_AssL1_1_MSizeLL_8388608_AssLL_1_Word_32.txt	128158187050	52359266951	20119603926	244574906	625413530	620543844	319287	2421796	34485637	127913292857	51731431625	19464574445	0.742899789002 %	0.190838300408 %	1.71906289229 %	0.0185542593101 %	0.000249135078569 %	0.0509216445475 %
MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187167	52359266980	20119603946	244574908	1554767689	1402989945	16422	238969	1290846	127913595837	50804260322	18715323155	1.59608228532 %	0.190838301794 %	4.0808550081 %	0.000770663712226 %	1.28138516649e-05 %	0.00211070478949 %
MSizeL1_16384_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.txt	128158186870	52359266910	20119603901	244574899	575869688	810956017	17059	236051	1249296	127913594912	51783161171	19307398588	0.813110311154 %	0.190838295214 %	1.91342068313 %	0.000748817799346 %	1.33108936827e-05 %	0.00204935173987 %
MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187003	52359266935	20119603924	244574906	1015351171	917925982	26959	506536	1809480	127913585138	51343409228	19199868462	1.0854684983 %	0.190838300478 %	2.66736654433 %	0.00116776782164 %	2.10357220482e-05 %	0.00319543609407 %
MSizeL1_8192_AssL1_2_MSizeLL_16777216_AssLL_1_Word_32.txt	128158187157	52359266976	20119603953	244574904	1019947563	1263792652	288867	1110199	1957791	127913323386	51338209214	18853853510	1.26014363604 %	0.190838298688 %	3.15090478884 %	0.00167309919315 %	0.000225398787552 %	0.00423294397481 %
MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187106	52359266962	20119603935	244574908	1019947563	1263792652	26960	506296	1802628	127913585238	51338813103	18854008655	1.26014363855 %	0.190838301885 %	3.15090479023 %	0.00116423357841 %	2.1036502317e-05 %	0.00318565117175 %
MSizeL1_8192_AssL1_4_MSizeLL_8388608_AssLL_4_Word_32.txt	128158186862	52359266903	20119603892	244574907	892879760	1201237270	23190	432062	1663617	127913588765	51465955081	18916703005	1.16563309107 %	0.190838301468 %	2.88927932655 %	0.00105607061066 %	1.80948252841e-05 %	0.002891434396 %
