../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	109672087226	42668867722	27456720460	799227910	2569595912	1189133728	63731	116544	186856	-831349314964226	-3595184594537821	-1565939443122532	2.53504809762 %	0.728743229217 %	5.35999730975 %	0.000204191182765 %	5.8110501598e-05 %	0.000432652342555 %
InvQuant	8986329482	3405046086	497186690	31018598	27141847	45279110	840	0	5	117406998291	41751361212	603060675	0.802568610287 %	0.345175391823 %	1.85588510879 %	6.55620063033e-06 %	9.34753173342e-06 %	1.28131771911e-07 %
Quant	277201740660	104480517882	62138929242	634789246	3390572755	4643498443	35004	46008	444533	13737775889116	-3000885109712	-7715356346752	1.95323267176 %	0.22899901151 %	4.82180882044 %	0.000118413679758 %	1.26276263333e-05 %	0.00029440801087 %
InvTransf	32755048976	17213236404	3154498386	116990718	128871957	170141327	11948	3907	7541	2410843963498	492207296172	-757295281536	0.783099025519 %	0.357168502742 %	1.46807333797 %	4.40413667007e-05 %	3.64768192188e-05 %	5.62065449007e-05 %
Transf	197440238684	84849073556	36701707406	1387750676	3090967906	1689962287	78545	35277	3289191	-197548897309699	-829657756496845	-420452401270626	1.93381019812 %	0.702871251195 %	3.93327805479 %	0.00106680526736 %	3.97816577429e-05 %	0.00273504454162 %
Misc	49943036390	16928544386	9261884866	193938576	585136500	261262855	37355	130554	183331	-10917448143467	-125760420233120	-52580434230626	1.36646601101 %	0.388319553672 %	3.23171242005 %	0.000461347709628 %	7.47952121058e-05 %	0.0011984721479 %
Inter/Intra	1260461732946	434230191694	216305107590	352441232	3993652737	668473528	29356	1035031	91331	383430492415865	-190923342898740	12408305682535	0.26240582337 %	0.0279612798063 %	0.716659998332 %	6.04772263121e-05 %	2.32898780127e-06 %	0.000173143871092 %
Inter	1047519570344	535419173900	74220127982	1147385460	6268021911	4503719318	88502	4653636	1611869	367332945122661	-1571028240215146	-1128402248155361	0.71925069399 %	0.109533558368 %	1.76690400303 %	0.000383427751346 %	8.44872043497e-06 %	0.00102773967831 %
Intra	32846257600	11382878624	5809463660	266067932	369374637	244475388	17089	34295	1025362	787748339559	-5684100713119	-3835297340887	1.75847837278 %	0.810040325568 %	3.57048513146 %	0.00215183079162 %	5.20272361257e-05 %	0.00616354061881 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	67490515216	26257764752	16896443360	491832560	1752591394	794756563	40998	66156	114817	-177302127248812	-904012204038008	-377876117259009	2.74679209779 %	0.728743229217 %	5.90289584364 %	0.000200615983595 %	6.07463135654e-05 %	0.00041936350571 %
InvQuant	5530048912	2095412976	305961040	19088368	18266561	29043879	516	0	5	46031882236	16623824566	1025644492	0.837161359352 %	0.345175391823 %	1.97014041481 %	6.56880870847e-06 %	9.33083971247e-06 %	2.08214129356e-07 %
Quant	170585686560	64295703312	38239341072	390639536	2368467289	3270742525	21294	17291	277609	5499173334258	-267554716886	-1657790891427	2.20775967066 %	0.22899901151 %	5.49978775342 %	0.000115770779797 %	1.248287616e-05 %	0.000287608984588 %
